Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
A01,T-1,5255.223857,387.9330643,81.79950385,161203.014,0.438821089,0.894473696,0.655949774,1.106453114,1.02970297,2823.668346,0.875,1.958333333,6.046246075,21.78412326,3.536959559,0.254377792,0.038547154,0.982114138,0.001492379,10_0,Control
A01,T-1,5076.375716,362.9651028,80.3955366,153044.2311,0.484210138,0.922393841,0.675897995,1.0546804,0.95049505,2688.380338,0.868421053,1.604166667,8.194054964,14.60754754,2.717683581,0.322126343,0.03900802,0.994934792,0.001526922,11_0,Control
A01,T-1,7700.608246,488.5171648,99.01878073,285939.3148,0.405485416,0.866853949,0.697056174,0.944127385,0.881188119,4838.65285,0.756578947,1.5,5.739071376,32.65916251,4.054276359,0.255757378,0.031902722,0.980607054,0.001021646,12_0,Control
A01,T-1,9919.832923,509.9311392,112.3847123,418064.0883,0.479392412,0.931686117,0.614833354,1.322978848,1.376237624,10828.58187,1.019736842,2.395833333,2.325018896,17.08689848,2.966849737,0.317560195,0.035521625,0.989363248,0.001267404,14_0,Control
A01,T-1,5248.205107,406.5053061,81.74486088,160880.1736,0.399105972,0.890560212,0.78461718,0.861274738,0.772277228,1835.376466,0.664473684,1.479166667,20,10.67385848,2.398656861,0.356888337,0.056019768,0.98835004,0.003154623,20_0,Control
A01,T-1,3059.135059,271.0035374,62.41002908,71595.26548,0.523429982,0.924721044,0.519233709,1.131399016,1.069306931,1019.390513,0.960526316,1.8125,20,22.94089181,3.585297943,0.262948116,0.051597153,0.990290013,0.002667113,23_0,Control
A01,T-1,3951.296133,323.3712483,70.92916529,105098.3012,0.474839279,0.894065055,0.561694,0.738665609,0.722772277,1191.467627,0.559210526,1.270833333,20,7.249769559,2.084893677,0.370411075,0.058063496,0.986992647,0.003381014,24_0,Control
A01,T-1,13771.30684,616.1086529,132.4166623,683831.4325,0.45590085,0.922975068,0.456006093,1.253621759,1.277227723,15937.29342,0.960526316,2.25,1.705232564,20.37252723,3.299782048,0.277500007,0.030664607,0.98402962,0.000947086,25_0,Control
A01,T-1,3954.155623,318.7250792,70.95482581,105212.4088,0.48913771,0.914672279,0.678226563,0.665999551,0.663366337,917.0813821,0.486842105,1.1875,20,6.397106311,1.842430792,0.422609461,0.070730133,0.981768473,0.005018386,29_0,Control
A01,T-1,9078.882726,559.9995655,107.5155454,366045.3856,0.363803514,0.920483896,0.692779265,1.310961985,1.386138614,9036.460961,1.019736842,2.270833333,1.300728057,19.44206163,3.047871913,0.316729468,0.036983471,0.988605151,0.001372551,31_0,Control
A01,T-1,4968.754887,393.3090708,79.53876546,148203.2361,0.403635645,0.864417511,0.631971817,0.64506166,0.613861386,1524.280703,0.460526316,1.166666667,4.435053381,6.102736595,1.690893334,0.463555822,0.077847997,0.982419267,0.006086187,35_0,Control
A01,T-1,5050.900254,346.7521799,80.19355298,151893.6139,0.527886136,0.942975006,0.587533174,1.014159208,1.069306931,2682.451105,0.789473684,1.770833333,6.597072234,32.36325403,4.188190946,0.238559573,0.036350613,0.971299957,0.001325037,40_0,Control
A01,T-1,3859.532479,311.4121327,70.10070882,101458.4859,0.500119175,0.92927333,0.492151542,0.843467666,0.821782178,986.0137011,0.605263158,1.5,20,9.185049285,2.346899634,0.341179871,0.061127508,0.983726854,0.003748224,41_0,Control
A01,T-1,5843.759017,368.6309849,86.25836232,189027.406,0.540403918,0.941215877,0.60889321,0.930306449,0.831683168,3305.378812,0.789473684,1.4375,7.669792555,36.9433197,4.337610763,0.238570816,0.032814056,0.980460711,0.001080782,50_0,Control
A01,T-1,4353.964403,324.8433576,74.45562205,121566.423,0.518497607,0.935855171,0.537940167,0.674668114,0.663366337,1422.200384,0.480263158,1.270833333,2.461605968,2.945882117,1.311382457,0.49535096,0.085431995,0.977382288,0.007334958,51_0,Control
A01,T-1,6009.34952,404.2184561,87.47194663,197118.5627,0.462173511,0.929775168,0.755266576,0.858341336,0.841584158,2908.060447,0.625,1.583333333,4.980607628,10.40806622,2.392917566,0.347278517,0.049173806,0.974153638,0.002427611,52_0,Control
A01,T-1,8693.111446,543.5392187,105.2065267,342964.523,0.369762905,0.886182955,0.863414087,0.505396736,0.504950495,2793.833157,0.375,0.9375,3.213792341,3.659386771,1.450966596,0.471028373,0.073420919,0.978091921,0.005430809,59_0,Control
A02,T-1,11446.54096,638.7773299,120.7236042,518200.38,0.35252112,0.87107814,0.722272546,0.746662211,0.730769231,6248.069378,0.609756098,1.333333333,6.033471253,20.16078731,3.149773971,0.30979533,0.038723848,0.980582326,0.001507763,11_0,Control
A02,T-1,4220.868112,328.0774518,73.30877297,116034.9983,0.492786589,0.932196578,0.687061417,0.997137417,1,1666.216624,0.756097561,2.2,20,38.50267982,4.771709081,0.200655846,0.038040301,0.939491898,0.001448766,16_0,Control
